nama;x;y
Taman Nasional Way Kambas;586134.59;9455287.74
Taman Purbakala Pugung Raharjo;562992.00;9414045.00
Danau Way Jepara;573606.99;9424862.75
Danau Kemuning Kali Mesin;581360.77;9413572.94
Pantai Kerang Mas;590753.97;9406213.82
Goa Pandan Giri Mulyo;574218.76;9404081.45
Hutan Mangrove Sriminosari;591858.42;9413785.77
